FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,1.2,1.2,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.2,1.2,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,0.019,0.019,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.019,0.019,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,1,1,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1,1,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,3268-87-9,Octachlorodibenzo-p-dioxin,,8.3,8.3,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,8.3,8.3,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,0.22,0.22,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.22,0.22,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,0.74,0.74,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.74,0.74,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,0.0098,0.0098,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.0098,0.0098,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,1.6,1.6,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.6,1.6,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,1.5,1.5,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.5,1.5,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,39001-02-0,Octachlorodibenzofuran,,1.6,1.6,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.6,1.6,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,0.0089,0.0089,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.0089,0.0089,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,0.0098,0.0098,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.0098,0.0098,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",,1.3,1.3,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.3,1.3,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",,0.048,0.048,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.048,0.048,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,0.033,0.033,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.033,0.033,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",,0.85,0.85,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.85,0.85,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",,1.5,1.5,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.5,1.5,ug/kg,CAL,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",,0.063,0.063,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.063,0.063,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",,0.028,0.028,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.028,0.028,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",,0.065,0.065,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.065,0.065,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",,0.044,0.044,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.044,0.044,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,60851-34-5,"2,3,4,6,7,8-Hexachlorodibenzofuran",,0.053,0.053,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.053,0.053,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,1.1,1.1,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,1.1,1.1,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,70648-26-9,"1,2,3,4,7,8-Hexachlorodibenzofuran",,0.27,0.27,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.27,0.27,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",,0.012,0.012,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.012,0.012,ug/kg,TRG,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,BBL-2378CONG,"Total 2,3,7,8-Congeners",,13.600000,13.6,ug/kg,,Yes,Y,,,,,,,ug/kg,,13.600000,13.6,ug/kg,CAL,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,BBL-TPCDDS,Total PCDDs,,11.400000,11.4,ug/kg,,Yes,Y,,,,,,,ug/kg,,11.400000,11.4,ug/kg,CAL,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-1,Grab-1,198027,GRAB-1,Grab-1,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495789,BBL-TPCDFS,Total PCDFs,,6.450000,6.45,ug/kg,,Yes,Y,,,,,,,ug/kg,,6.450000,6.45,ug/kg,CAL,-74.127241,40.743027,99999998.75,99999999,99999998.5,-74.127241,40.743027,Historical-TSI Data,,,,,PR,2.682978,,NA
4,NJD980528996,Grab-2,Grab-2,198028,GRAB-2,Grab-2,9/14/1995,N,0,0.5,ft,SE,1995 Sediment Grab Sampling Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,9/14/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495790,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,0.21,0.21,ug/kg,,Yes,Y,J,,J,,,,ug/kg,,0.21,0.21,ug/kg,TRG,-74.127245,40.74245,99999998.75,99999999,99999998.5,-74.127245,40.74245,Historical-TSI Data,,,,,PR,2.683683,,NA
